gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5077034750	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/262755492	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.780312	-48.982956	30870.0						2025-02-22T09:20	22	2	2025	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	262755492		Laurent Quéno	2025-02-23T00:30:07	CC_BY_NC_4_0	Laurent Quéno	Laurent Quéno			2025-03-27T02:33:54.868Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978365655	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249957348	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.220979	-52.957614	30666.0						2024-09-29T06:42	29	9	2024	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	249957348		sunny1az	2024-11-01T02:09:49	CC_BY_NC_4_0	sunny1az	sunny1az			2025-03-27T02:23:55.819Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952945348	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245053279	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.049612	-52.915505	44293.0						2024-09-30T16:29	30	9	2024	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	245053279		Valter K. Filho	2024-10-01T11:32:55	CC_BY_NC_4_0	Valter K. Filho	Valter K. Filho			2025-03-27T08:48:10.730Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952626995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245547634	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.097111	-52.883764	44293.0						2024-09-29T07:54	29	9	2024	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	245547634		Valter K. Filho	2024-10-04T10:56:44	CC_BY_NC_4_0	Valter K. Filho	Valter K. Filho			2025-03-27T08:48:49.263Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952416115	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245103959	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.102895	-52.991762	44293.0						2024-09-30T16:08	30	9	2024	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	245103959		Valter K. Filho	2024-10-01T17:40:23	CC_BY_NC_4_0	Valter K. Filho	Valter K. Filho			2025-03-27T02:20:08.896Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936762048	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/28973324	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.80994	-48.805294	30855.0						2019-07-13	13	7	2019	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	28973324		Laurent Quéno	2019-07-17T01:00:00	CC_BY_NC_4_0	Laurent Quéno	Laurent Quéno			2025-03-26T23:05:08.125Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936149112	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66192493	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.669225	-48.85164	30870.0						2020-12-05T16:39	5	12	2020	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	66192493		Laurent Quéno	2020-12-06T16:20:31	CC_BY_NC_4_0	Laurent Quéno	Laurent Quéno			2025-03-26T23:38:21.706Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935711697	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/110899631	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.678986	-48.962509	30870.0						2022-04-09T15:24	9	4	2022	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	110899631		Laurent Quéno	2022-04-09T22:42:11	CC_BY_NC_4_0	Laurent Quéno	Laurent Quéno			2025-03-27T06:02:51.067Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926200137	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236412410	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-14.050292	-47.444332	30981.0						2012-01-05T09:29	5	1	2012	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	236412410		jbio	2024-08-18T01:26:49	CC_BY_NC_4_0	jbio	jbio			2025-03-27T02:12:23.460Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4909029342	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228060578	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Neothraupis	Neothraupis fasciata		SPECIES	Neothraupis fasciata (M.H.K.Lichtenstein, 1823)	Neothraupis fasciata		BR		Goiás	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-16.303911	-48.871558	30826.0						2016-01-24T10:18	24	1	2016	2488550	2488550	HUMAN_OBSERVATION	iNaturalist	Observations	228060578		Felipe Moreira	2024-07-08T17:26:01	CC_BY_NC_4_0	Felipe Moreira	Felipe Moreira			2025-03-27T02:05:23.772Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
